Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,4270,-10.5,
,,,1700,-3.5,
,,,1280,-1.5,
,,,2240,-9.0,
,,,2780,-10.0,
,,,570,-9.0,
,,,4220,-1.0,
,,,8680,-9.0,
,,,4060,-1.5,
,,,1060,-5.0,
,,,18990,-7.5,
,,,1350,2.0,
,,,3400,-14.0,
,,,1670,1.5,
,,,1960,1.0,
,,,140,-4.0,
,,,150,-12.0,
,,,2840,-14.5,
,,,1930,-3.5,
,,,4170,0.5,
,,,1010,-15.0,
,,,1250,-10.0,
,,,430,-1.5,
,,,460,-6.5,
,,,3720,-1.5,
,,,13350,2.0,
,,,3470,-8.0,
,,,5530,2.0,
,,,240,-5.5,
,,,10770,-6.5,
,,,10450,-4.0,
,,,460,-5.0,
,,,2370,5.0,
,,,6110,-2.5,
,,,1310,-2.0,
,,,4530,7.0,
,,,4120,-8.0,
,,,4270,-10.0,
,,,11670,-17.5,
,,,400,-305.5,
,,,710,-11.5,
,,,270,3.5,
,,,11920,-29.5,
,,,600,-3.5,
,,,3650,7.5,
,,,480,-4.0,
,,,1840,-10.5,
,,,930,-7.5,
,,,6050,-5.5,
,,,400,-18.5,
,,,1660,4.5,
,,,940,-2.5,
,,,1930,-3.5,
,,,2780,-8.5,
,,,3640,-3.5,
,,,1350,1.5,
,,,1160,-4.5,
,,,440,-10.5,
,,,760,-2.0,
,,,1100,-11.5,
,,,3250,-5.0,
,,,4620,-7.5,
,,,16610,-3.5,
,,,270,-6.5,
,,,690,-6.0,
,,,4460,4.5,
,,,3390,-1.0,
,,,430,1.0,
,,,1180,-3.5,
,,,1940,2.0,
,,,1570,8.5,
,,,1400,-10.0,
,,,1940,0.5,
,,,550,4.0,
,,,600,-5.5,
,,,3910,4.5,
,,,19200,-2.5,
,,,950,-2.5,
,,,9210,-9.5,
,,,2050,-6.0,
,,,790,-3.5,
,,,1020,-5.5,
,,,3460,-8.5,
,,,600,-5.0,
,,,1390,-4.0,
,,,2190,-0.5,
,,,2720,-7.0,
,,,1620,-1.0,
,,,890,-3.0,
,,,1160,-3.0,
,,,1260,-5.0,
,,,870,-9.0,
,,,4160,734.5,
,,,4890,-7.5,
,,,210,-8.5,
,,,1400,-11.5,
,,,5610,-2.0,
,,,1900,-6.5,
,,,150,-2.5,
,,,2420,-5.5,
,,,2010,-933.5,
,,,1710,3.0,
,,,2390,-14.5,
,,,2670,-9.0,
,,,1790,-6.0,
,,,10580,-1.5,
,,,1130,-5.5,
,,,3330,-8.5,
,,,280,2.5,
,,,5290,-22.0,
,,,4090,-9.0,
,,,160,-7.5,
,,,520,-8.5,
,,,8130,-5.0,
,,,810,-3.5,
,,,10640,-4.5,
,,,5040,-3.5,
,,,14220,-8.5,
,,,10550,-5.5,
,,,8180,2.0,
,,,6740,-9.5,
,,,3330,5.5,
,,,3330,-3.0,
,,,2890,-8.0,
,,,2120,-6.0,
,,,1110,-4.0,
,,,2450,-5.5,
,,,3770,-8.5,
,,,2730,12.0,
,,,1780,-9.5,
,,,170,3.0,
,,,6640,-2.0,
,,,7790,-9.5,
,,,660,-6.0,
,,,310,-8.5,
,,,2540,-2.5,
,,,1240,-2.0,
,,,1390,-6.5,
,,,930,-6.0,
,,,1680,-2.0,
,,,4140,-8.0,
,,,1240,4.0,
,,,300,-5.0,
,,,2200,-11.5,
,,,2100,-2.0,
,,,6650,-4.5,
,,,6630,-6.0,
,,,9720,3.5,
,,,1650,-9.5,
,,,1230,1.0,
,,,1790,11.0,
,,,4120,-366.5,
,,,310,-2.5,
,,,4520,-7.5,
,,,370,-3.0,
,,,1870,-2.0,
,,,2800,-8.5,
,,,20030,-5.5,
,,,9880,-6.0,
,,,1000,-3.5,
,,,13390,3.0,
,,,1830,-10.0,
,,,2150,-5.5,
,,,330,-8.0,
,,,740,-7.0,
,,,20150,-3.0,
,,,1010,-7.0,
,,,990,-7.0,
,,,760,0.0,
,,,360,-3.5,
,,,960,-10.0,
,,,1020,7.5,
,,,3070,7.0,
,,,420,-7.5,
,,,340,1.5,
,,,2640,0.0,
,,,1540,-6.0,
,,,2590,-2.0,
,,,3630,-2.5,
,,,5020,3.0,
,,,1050,-7.5,
,,,5670,-2.0,
,,,710,-5.0,
,,,990,-8.0,
,,,940,-13.5,
,,,3440,-3.5,
,,,250,-9.0,
,,,1590,-9.5,
,,,1900,-20.5,
,,,5460,2.0,
,,,1320,-4.0,
